*************************************
*************************************
*************************************
*** Start Sub-Experiment 0 **********
*************************************
*************************************
*************************************

RUNNING 800 EPISODES

global_epsilon: 0.215497188791, episode_epsilon: 0.751314800902
global_epsilon: 0.215281906884, episode_epsilon: 0.683013455365
global_epsilon: 0.215066840044, episode_epsilon: 0.620921323059
global_epsilon: 0.214851988056, episode_epsilon: 0.564473930054
global_epsilon: 0.214637350705, episode_epsilon: 0.513158118231
global_epsilon: 0.214422927778, episode_epsilon: 0.46650738021
global_epsilon: 0.214208719059, episode_epsilon: 0.424097618372
global_epsilon: 0.213994724334, episode_epsilon: 0.38554328943
global_epsilon: 0.213780943391, episode_epsilon: 0.350493899481
global_epsilon: 0.213567376015, episode_epsilon: 0.909090909091
global_epsilon: 0.213354021993, episode_epsilon: 0.826446280992
global_epsilon: 0.213140881112, episode_epsilon: 0.751314800902
global_epsilon: 0.212927953159, episode_epsilon: 0.683013455365
global_epsilon: 0.212715237921, episode_epsilon: 0.620921323059
global_epsilon: 0.212502735185, episode_epsilon: 0.564473930054
global_epsilon: 0.212290444741, episode_epsilon: 0.513158118231
global_epsilon: 0.212078366374, episode_epsilon: 0.46650738021
global_epsilon: 0.211866499874, episode_epsilon: 0.424097618372
global_epsilon: 0.211654845029, episode_epsilon: 0.38554328943
global_epsilon: 0.211443401628, episode_epsilon: 0.350493899481
global_epsilon: 0.211232169458, episode_epsilon: 0.31863081771
global_epsilon: 0.21102114831, episode_epsilon: 0.289664379737
global_epsilon: 0.210810337972, episode_epsilon: 0.263331254306
global_epsilon: 0.210599738234, episode_epsilon: 0.909090909091
global_epsilon: 0.210389348885, episode_epsilon: 0.826446280992
global_epsilon: 0.210179169715, episode_epsilon: 0.751314800902
global_epsilon: 0.209969200515, episode_epsilon: 0.683013455365
global_epsilon: 0.209759441074, episode_epsilon: 0.620921323059
global_epsilon: 0.209549891182, episode_epsilon: 0.564473930054
global_epsilon: 0.209340550632, episode_epsilon: 0.513158118231
global_epsilon: 0.209131419213, episode_epsilon: 0.46650738021
global_epsilon: 0.208922496716, episode_epsilon: 0.424097618372
global_epsilon: 0.208713782933, episode_epsilon: 0.38554328943
global_epsilon: 0.208505277655, episode_epsilon: 0.350493899481
global_epsilon: 0.208296980675, episode_epsilon: 0.31863081771
global_epsilon: 0.208088891783, episode_epsilon: 0.909090909091
global_epsilon: 0.207881010772, episode_epsilon: 0.826446280992
global_epsilon: 0.207673337435, episode_epsilon: 0.909090909091
global_epsilon: 0.207465871563, episode_epsilon: 0.826446280992
global_epsilon: 0.20725861295, episode_epsilon: 0.751314800902
global_epsilon: 0.207051561389, episode_epsilon: 0.683013455365
global_epsilon: 0.206844716672, episode_epsilon: 0.620921323059
global_epsilon: 0.206638078593, episode_epsilon: 0.564473930054
global_epsilon: 0.206431646946, episode_epsilon: 0.513158118231
global_epsilon: 0.206225421525, episode_epsilon: 0.46650738021
global_epsilon: 0.206019402123, episode_epsilon: 0.424097618372
global_epsilon: 0.205813588534, episode_epsilon: 0.38554328943
global_epsilon: 0.205607980554, episode_epsilon: 0.350493899481
global_epsilon: 0.205402577976, episode_epsilon: 0.31863081771
global_epsilon: 0.205197380595, episode_epsilon: 0.289664379737
global_epsilon: 0.204992388207, episode_epsilon: 0.263331254306
global_epsilon: 0.204787600606, episode_epsilon: 0.239392049369
global_epsilon: 0.204583017589, episode_epsilon: 0.21762913579
global_epsilon: 0.20437863895, episode_epsilon: 0.20437863895
global_epsilon: 0.204174464485, episode_epsilon: 0.204174464485
global_epsilon: 0.203970493991, episode_epsilon: 0.909090909091
global_epsilon: 0.203766727264, episode_epsilon: 0.826446280992
global_epsilon: 0.2035631641, episode_epsilon: 0.751314800902
global_epsilon: 0.203359804296, episode_epsilon: 0.683013455365
global_epsilon: 0.203156647648, episode_epsilon: 0.909090909091
global_epsilon: 0.202953693954, episode_epsilon: 0.826446280992
global_epsilon: 0.202750943011, episode_epsilon: 0.751314800902
global_epsilon: 0.202548394616, episode_epsilon: 0.683013455365
global_epsilon: 0.202346048568, episode_epsilon: 0.620921323059
global_epsilon: 0.202143904663, episode_epsilon: 0.909090909091
global_epsilon: 0.201941962701, episode_epsilon: 0.826446280992
global_epsilon: 0.201740222478, episode_epsilon: 0.909090909091
global_epsilon: 0.201538683794, episode_epsilon: 0.826446280992
global_epsilon: 0.201337346448, episode_epsilon: 0.751314800902
global_epsilon: 0.201136210238, episode_epsilon: 0.683013455365
global_epsilon: 0.200935274963, episode_epsilon: 0.620921323059
global_epsilon: 0.200734540422, episode_epsilon: 0.564473930054
global_epsilon: 0.200534006416, episode_epsilon: 0.513158118231
global_epsilon: 0.200333672743, episode_epsilon: 0.46650738021
global_epsilon: 0.200133539204, episode_epsilon: 0.424097618372
global_epsilon: 0.199933605598, episode_epsilon: 0.38554328943
global_epsilon: 0.199733871727, episode_epsilon: 0.350493899481
